product_id,product_name,category,price,origin_lat,origin_lng,origin_name,origin_type,description,stock,province
1,碧螺春,茶叶,620.0,31.3253,120.6203,苏州茶叶基地,产地直销店,优质绿茶，冲泡后香气清新，口感鲜醇回甘。,85,江苏
2,香脆海苔片,水产,15.8,36.1699,120.3844,青岛海产工厂,加工厂,选用优质紫菜烤制，口感酥脆，非油炸更健康。,320,山东
3,全麦面粉,粮食,7.5,34.757,113.6333,郑州面粉厂,粮食基地,新鲜小麦研磨，保留麸皮和胚芽，麦香味浓。,550,河南
4,软糯柿饼,水果,28.0,34.8065,109.1194,富平柿饼工坊,果蔬基地,传统工艺制作，果肉软糯香甜，中间有流心。,180,陕西
5,深海带鱼,水产,42.0,29.9853,122.2072,舟山渔港,水产码头,来自深海捕捞，银鳞闪亮，肉质肥厚鲜嫩。,115,浙江
6,小叶芥蓝,蔬菜,6.8,23.5527,116.3781,潮汕蔬菜基地,果蔬基地,特色小叶品种，茎部爽脆，叶片鲜嫩，味道清甜。,229,广东
7,去刺鲈鱼块,水产,38.5,30.6514,117.4846,铜陵水产中心,加工厂,选用鲜活鲈鱼，已去皮去刺，切块冰鲜，烹饪方便。,95,安徽
8,黄金芽茶,茶叶,880.0,27.3406,117.4906,武夷山生态茶园,产地直销店,珍稀黄茶品种，干茶金黄，茶汤明亮，口感鲜爽。,42,福建
9,有机小米,粮食,12.9,37.8692,112.5489,晋中杂粮基地,粮食基地,有机种植，熬出的粥米油丰富，香气十足。,480,山西
10,九月红脐橙,水果,9.8,30.8272,110.9762,秭归橙园,果蔬基地,早熟脐橙品种，果肉颜色鲜红，汁水特别多。,300,湖北
11,珍珠大米,粮食,9.8,45.5368,126.971,五常水稻基地,粮食基地,优质大米品种，米粒饱满，蒸煮后香气浓郁。,780,黑龙江
12,红富士苹果,水果,8.5,37.4979,121.3589,烟台苹果园,果蔬基地,色泽鲜艳，果肉细腻多汁，甜度高。,450,山东
13,蜜宝甜瓜,水果,15.6,43.846,93.5115,哈密瓜田,果蔬基地,果肉橙红，糖分高，口感爽脆香甜。,320,新疆
14,普洱茶饼,茶叶,350.0,22.764,100.9678,普洱古茶园,产地直销店,陈香浓郁，汤色红亮，有助于消化降脂。,120,云南
15,大闸蟹,水产,198.0,31.417,120.8553,阳澄湖养殖基地,水产码头,清水大闸蟹，蟹黄饱满，肉质鲜甜，品质上乘。,180,江苏
16,温室黄瓜,蔬菜,3.8,36.883,118.7884,寿光蔬菜大棚,果蔬基地,温室种植，直条顺直，刺瘤明显，口感清脆。,680,山东
17,花椒粒,调料,45.0,30.649,104.0621,汉源花椒园,产地直销店,麻味纯正，香气浓郁，是川菜必备调料。,95,四川
18,洛川苹果,水果,7.9,35.7621,109.4277,洛川苹果基地,果蔬基地,果形端正，酸甜适中，口感好。,520,陕西
19,红枸杞,药材,65.0,38.4669,106.265,中宁枸杞园,产地直销店,粒大饱满，色泽红润，滋补养生佳品。,260,宁夏
20,铁观音茶,茶叶,480.0,25.0358,118.1814,安溪茶园,产地直销店,兰花香明显，滋味醇厚，回甘持久。,88,福建
21,金腿火腿,肉制品,128.0,29.0781,119.6474,金华火腿厂,加工厂,肉质紧实，咸香适口，适合炖汤或蒸食。,150,浙江
22,黑木耳,干货,38.0,44.5961,129.591,牡丹江木耳基地,产地直销店,朵大肉厚，泡发率高，口感爽滑。,320,黑龙江
23,毛尖茶,茶叶,420.0,32.1235,114.065,信阳茶山,产地直销店,条索紧细，白毫显露，汤色清澈，滋味鲜爽。,110,河南
24,酥梨,水果,4.5,37.7389,115.6647,河北梨园,果蔬基地,果形似鸭蛋，皮薄肉细，汁多味甜。,890,河北
25,妃子笑荔枝,水果,18.8,23.1291,113.2644,增城荔枝园,果蔬基地,果大核小，肉质爽脆，甜而不腻。,280,广东
26,鲜剁椒,调料,12.5,28.1949,112.9794,湖南辣椒基地,加工厂,选用新鲜红辣椒制作，辣味醇厚，开胃下饭。,420,湖南
27,风干牛肉,肉制品,78.0,40.8171,111.6708,呼和浩特肉制品厂,加工厂,肉质紧实，嚼劲十足，营养丰富。,220,内蒙古
28,脐橙,水果,6.9,27.114,114.9849,赣南脐橙园,果蔬基地,果皮光滑，汁多味甜，维生素C含量高。,650,江西
29,砂糖橘,水果,5.8,25.2736,110.286,桂林砂糖橘园,果蔬基地,果实扁圆形，皮薄易剥，果肉爽脆，味清甜。,720,广西
30,酱香白酒,酒类,1499.0,27.8544,106.4176,茅台酒厂,加工厂,酱香突出，优雅细腻，回味悠长。,85,贵州
31,花牛苹果,水果,7.2,34.5605,105.725,天水苹果园,果蔬基地,果形优美，肉质细腻，风味独特。,380,甘肃
32,黄金椰,水果,12.0,19.1856,109.6074,文昌椰子林,果蔬基地,汁水清甜，椰肉鲜嫩，营养丰富。,560,海南
33,麻辣火锅底料,调料,28.0,29.563,106.5516,重庆调味品厂,加工厂,麻辣鲜香，牛油味浓，一料多用。,320,重庆
34,牦牛肉干,肉制品,88.0,29.652,91.1175,拉萨食品厂,加工厂,肉质鲜美，低脂肪高蛋白，营养丰富。,180,西藏
35,黑枸杞,药材,120.0,36.6255,101.7772,青海枸杞基地,产地直销店,花青素含量高，抗氧化能力强，养生佳品。,140,青海
36,凤梨酥,糕点,35.0,25.0375,121.5637,台北糕点厂,加工厂,外皮酥松，内馅酸甜，奶香浓郁。,260,台湾
37,葡式蛋挞,糕点,25.0,22.2793,114.1628,香港饼屋,加工厂,挞皮酥脆，蛋液嫩滑，甜度适中。,190,香港
38,杏仁饼,糕点,32.0,22.1987,113.5439,澳门手信店,加工厂,杏仁香浓，口感酥松，甜而不腻。,210,澳门
39,烤鸭,肉制品,168.0,39.9042,116.4074,北京全聚德,加工厂,皮脆肉嫩，肥而不腻，享誉中外。,120,北京
40,麻花,糕点,18.0,39.3434,117.3616,天津食品厂,加工厂,酥脆香甜，久放不绵，传统风味。,340,天津
41,小笼包,速冻食品,28.0,31.2304,121.4737,上海南翔,加工厂,皮薄馅大，汤汁鲜美，味道正宗。,280,上海
42,盐水鸭,肉制品,58.0,32.0603,118.7969,南京桂花鸭,加工厂,皮白肉嫩，肥而不腻，鲜香美味。,180,江苏
43,龙井茶,茶叶,680.0,30.247,120.1547,杭州龙井村,产地直销店,色绿香郁，味甘形美，中国十大名茶之一。,95,浙江
44,黄山毛峰,茶叶,520.0,29.7147,118.3375,黄山茶园,产地直销店,白毫显露，香气如兰，滋味甘醇。,110,安徽
45,大红袍茶,茶叶,1200.0,27.6552,117.9978,武夷山岩茶厂,产地直销店,岩韵明显，香气浓郁，回味甘爽。,65,福建
46,青花瓷餐具,工艺品,380.0,29.2687,117.1782,景德镇瓷窑,加工厂,工艺精湛，釉色温润，造型优美。,120,江西
47,阿胶糕,药材,560.0,36.1954,116.495,东阿阿胶厂,加工厂,补血养颜，滋阴润燥，传统滋补品。,180,山东
48,道口烧鸡,肉制品,48.0,35.5944,114.4814,滑县道口镇,加工厂,色泽鲜艳，形如元宝，风味独特。,220,河南
49,热干面,速冻食品,15.0,30.5951,114.2999,武汉食品厂,加工厂,面条劲道，芝麻酱香浓，当地特色小吃。,450,湖北
50,臭豆腐,速冻食品,12.8,28.2282,112.9388,长沙食品厂,加工厂,闻着臭吃着香，外焦里嫩，风味独特。,380,湖南
51,广式肠粉,速冻食品,18.0,23.1252,113.2806,广州食品厂,加工厂,粉皮薄透，馅料鲜美，酱油调味恰到好处。,320,广东
52,螺蛳粉,速冻食品,22.0,24.312,109.3891,柳州食品厂,加工厂,酸辣鲜香，米粉爽滑，配料丰富。,410,广西
53,文昌鸡,肉制品,68.0,19.5433,110.8029,文昌养殖场,产地直销店,皮薄骨酥，肉质嫩滑，肥而不腻。,150,海南
54,重庆小面,速冻食品,16.0,29.563,106.5516,重庆食品厂,加工厂,麻辣鲜香，面条劲道，配料丰富。,360,重庆
55,担担面,速冻食品,14.8,30.649,104.0621,成都食品厂,加工厂,麻酱香浓，肉末酥香，微辣开胃。,420,四川
56,酸汤鱼,速冻食品,32.0,26.5783,106.7135,凯里食品厂,加工厂,汤酸味鲜，鱼肉嫩滑，开胃健脾。,280,贵州
